MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
d8:84:66:bc:e5:52,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:06:40,149.0,5745.0,-71,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:e5:53,UTPB-Guest,[ESS],2024-10-24 21:06:40,149.0,5745.0,-70,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:e5:42,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:06:40,1.0,2412.0,-69,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:97:bc:40,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:40,40.0,5200.0,-80,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:ca:00,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:40,11.0,2462.0,-44,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:ca:12,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:06:40,48.0,5240.0,-52,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:e7:b0,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:40,157.0,5785.0,-67,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:ca:13,UTPB-Guest,[ESS],2024-10-24 21:06:40,48.0,5240.0,-53,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:d4:72,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:06:40,165.0,5825.0,-87,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:6f:a3,UTPB-Guest,[ESS],2024-10-24 21:06:40,11.0,2462.0,-80,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:8f:c0,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:40,6.0,2437.0,-63,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
08:86:3b:d4:a2:52,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-24 21:06:40,1.0,2412.0,-72,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:8f:d2,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:06:40,157.0,5785.0,-63,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:8f:d3,UTPB-Guest,[ESS],2024-10-24 21:06:40,157.0,5785.0,-62,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:e7:b2,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:06:40,157.0,5785.0,-66,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:f2:52,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:06:40,44.0,5220.0,-80,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:e7:a2,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:06:40,6.0,2437.0,-68,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:e7:b3,UTPB-Guest,[ESS],2024-10-24 21:06:40,157.0,5785.0,-66,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:97:bc:4b,UTPB-Guest,[ESS],2024-10-24 21:06:40,1.0,2412.0,-80,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:8f:d0,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:40,157.0,5785.0,-63,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:e7:a0,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:40,6.0,2437.0,-68,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:8f:c3,UTPB-Guest,[ESS],2024-10-24 21:06:40,6.0,2437.0,-63,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:6f:a0,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:40,11.0,2462.0,-81,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:e5:50,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:40,149.0,5745.0,-72,31.88913659,-102.32778087,875.77783203125,19.495079040527344,,,WIFI
d8:84:66:bc:d4:63,UTPB-Guest,[ESS],2024-10-24 21:06:47,6.0,2437.0,-86,31.88912589311637,-102.32776701908875,877.489990234375,11.29075813293457,,,WIFI
02:41:0e:98:0a:f5,LT500035 8391,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-24 21:06:53,36.0,5180.0,-89,31.889152913644395,-102.32778075198831,885.3441162109375,5.930393218994141,,,WIFI
d8:84:66:bc:f2:53,UTPB-Guest,[ESS],2024-10-24 21:06:53,44.0,5220.0,-77,31.889152913644395,-102.32778075198831,885.3441162109375,5.930393218994141,,,WIFI
d8:84:66:bc:d4:70,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:57,165.0,5825.0,-87,31.88915796581884,-102.32779061346676,885.92431640625,6.004676342010498,,,WIFI
d8:84:66:bc:f2:40,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:57,1.0,2412.0,-79,31.88915796581884,-102.32779061346676,885.92431640625,6.004676342010498,,,WIFI
d8:84:66:97:bc:48,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:06:57,1.0,2412.0,-81,31.88915796581884,-102.32779061346676,885.92431640625,6.004676342010498,,,WIFI
d8:84:66:97:bc:42,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:07:04,40.0,5200.0,-80,31.88915501207036,-102.32779621586158,887.6224365234375,5.517977237701416,,,WIFI
d8:84:66:bc:ca:13,UTPB-Guest,[ESS],2024-10-24 21:07:04,48.0,5240.0,-48,31.88915501207036,-102.32779621586158,887.6224365234375,5.517977237701416,,,WIFI
d8:84:66:bc:6f:a2,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:07:04,11.0,2462.0,-80,31.88915501207036,-102.32779621586158,887.6224365234375,5.517977237701416,,,WIFI
d8:84:66:bc:8f:c2,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:07:04,6.0,2437.0,-60,31.88915501207036,-102.32779621586158,887.6224365234375,5.517977237701416,,,WIFI
d8:84:66:bc:e5:b0,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:07:12,165.0,5825.0,-87,31.889166148770688,-102.32779377753089,884.5338134765625,7.334907054901123,,,WIFI
d8:84:66:bc:ca:03,UTPB-Guest,[ESS],2024-10-24 21:07:30,11.0,2462.0,-40,31.8891683461,-102.3277798649318,880.707763671875,9.054826736450195,,,WIFI
d8:84:66:bc:ca:12,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:07:30,48.0,5240.0,-47,31.8891683461,-102.3277798649318,880.707763671875,9.054826736450195,,,WIFI
d8:84:66:97:bc:4a,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:07:30,1.0,2412.0,-81,31.8891683461,-102.3277798649318,880.707763671875,9.054826736450195,,,WIFI
d8:84:66:bc:e5:43,UTPB-Guest,[ESS],2024-10-24 21:07:59,1.0,2412.0,-70,31.889187248921612,-102.32780439091252,882.377197265625,11.366766929626465,,,WIFI
9a:0b:7c:dc:20:c8,,[ESS],2024-10-24 21:07:59,1.0,2412.0,-79,31.889187248921612,-102.32780439091252,882.377197265625,11.366766929626465,,,WIFI
d8:84:66:bc:c7:93,UTPB-Guest,[ESS],2024-10-24 21:07:59,157.0,5785.0,-87,31.889187248921612,-102.32780439091252,882.377197265625,11.366766929626465,,,WIFI
d8:84:66:bc:f2:42,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:07:59,1.0,2412.0,-78,31.889187248921612,-102.32780439091252,882.377197265625,11.366766929626465,,,WIFI
d8:84:66:bc:f2:43,UTPB-Guest,[ESS],2024-10-24 21:07:59,1.0,2412.0,-78,31.889187248921612,-102.32780439091252,882.377197265625,11.366766929626465,,,WIFI
d8:84:66:bc:e5:50,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:07:59,149.0,5745.0,-67,31.889187248921612,-102.32780439091252,882.377197265625,11.366766929626465,,,WIFI
d8:84:66:bc:e5:52,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:08:05,149.0,5745.0,-66,31.889197041499436,-102.32781455412652,883.6009521484375,11.501355171203612,,,WIFI
d8:84:66:bc:ca:02,eduroam,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],2024-10-24 21:08:05,11.0,2462.0,-42,31.889197041499436,-102.32781455412652,883.6009521484375,11.501355171203612,,,WIFI
d8:84:66:bc:cb:73,UTPB-Guest,[ESS],2024-10-24 21:08:05,149.0,5745.0,-88,31.889197041499436,-102.32781455412652,883.6009521484375,11.501355171203612,,,WIFI
d8:84:66:bc:e5:40,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-24 21:08:11,1.0,2412.0,-69,31.889203333755017,-102.32782372834995,883.312255859375,11.06068515777588,,,WIFI
d8:84:66:bc:e7:a3,UTPB-Guest,[ESS],2024-10-24 21:08:17,6.0,2437.0,-69,31.88920892123042,-102.32783376021143,882.9263916015625,10.816611289978027,,,WIFI
8a:9b:e8:32:b5:88,,[ESS],2024-10-24 21:08:17,6.0,2437.0,-82,31.88920892123042,-102.32783376021143,882.9263916015625,10.816611289978027,,,WIFI
e8:d3:eb:52:b4:aa,,[ESS],2024-11-11 23:57:10,116.0,5580.0,-82,31.8976240286468,-102.30477460574788,845.8624267578125,7.101104259490967,,,WIFI
2a:03:eb:a4:49:3f,myChevrolet9757,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-11-11 23:57:10,6.0,2437.0,-76,31.8976240286468,-102.30477460574788,845.8624267578125,7.101104259490967,,,WIFI
bc:9a:8e:d1:35:b4,ATTMr7XHzr,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],2024-11-11 23:57:10,7.0,2442.0,-83,31.8976240286468,-102.30477460574788,845.8624267578125,7.101104259490967,,,WIFI
76:9b:e8:2f:e6:60,CODA-E660-5G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],2024-11-11 23:57:10,149.0,5745.0,-87,31.8976240286468,-102.30477460574788,845.8624267578125,7.101104259490967,,,WIFI
9a:0b:7c:83:fe:68,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-11-11 23:57:10,11.0,2462.0,-70,31.8976240286468,-102.30477460574788,845.8624267578125,7.101104259490967,,,WIFI
e0:1f:2b:62:4e:f4,ATTbWCwmJw,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],2024-11-11 23:57:10,11.0,2462.0,-87,31.8976240286468,-102.30477460574788,845.8624267578125,7.101104259490967,,,WIFI
84:0b:7c:83:fe:68,CODA-FE60,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS],2024-11-11 23:57:10,11.0,2462.0,-83,31.8976240286468,-102.30477460574788,845.8624267578125,7.101104259490967,,,WIFI
3c:58:5d:62:d2:66,TMOBILE-D261,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],2024-11-11 23:57:10,6.0,2437.0,-85,31.8976240286468,-102.30477460574788,845.8624267578125,7.101104259490967,,,WIFI
