SSID,BSSID,Encryption,latitude,longitude,Channel,Frequency,Last Update
leasing office,48:F8:B3:AC:CE:E8,wpa3,31.89592242,-102.3046739,11,,2024-10-22T20:42:10.000Z
Redmi 9C NFC,4C:AB:F8:48:64:B5,wpa2,31.89501634,-102.3105506,11,,2022-09-28T13:43:25.000Z
0002softbank,AC:DF:9F:41:C0:1C,wpa2,31.88977834,-102.2970782,7,,2020-09-16T12:11:42.000Z
SpectrumSetup-4F,9C:8C:D8:34:06:00,wpa2,31.88286979,-102.3011701,1,,2023-04-17T13:36:10.000Z
ATTktwAfgj,98:DE:D0:69:BF:89,wpa2,31.88446696,-102.3098656,5,,2022-12-18T23:48:42.000Z
????iPhone,AE:70:5D:0D:A9:E3,wpa2,31.88732074,-102.3011184,6,,2022-10-03T13:42:22.000Z
ATTZzgtmlj,00:27:22:0A:E7:50,wpa2,31.89712408,-102.3069049,8,,2024-01-27T01:17:36.000Z
office,24:65:11:3D:7C:F2,wpa2,31.89343272,-102.3064451,1,,2024-08-01T03:06:25.000Z
SpectrumSetup-50,52:0D:10:1A:49:1C,wpa2,31.89003841,-102.3034285,1,,2023-07-22T23:44:21.000Z
3Com,6E:D7:9A:2A:AF:97,wpa2,31.88355987,-102.3066038,6,,2021-10-17T05:34:41.000Z
SpectrumSetup-9B,B6:DB:48:20:95:61,wpa2,31.89537165,-102.3100092,6,,2023-02-12T19:54:23.000Z
optimumwifi-Emergency,22:EF:BD:61:AA:58,wep,31.88790069,-102.3102338,11,,2004-09-02T16:55:11.000Z
Hotspot,62:F8:53:35:F7:DF,wpa2,31.89542803,-102.3114787,11,,2004-10-14T17:47:45.000Z
NETGEAR03,2C:B0:5D:F4:D2:C8,wpa,31.88927665,-102.3072753,1,,2022-12-25T13:19:22.000Z
@Hyatt_WiFi,02:9F:C2:01:21:AF,wpa2,31.88908595,-102.3135976,11,,2020-05-14T16:44:45.000Z
IHG Connect,2C:3A:FD:8D:01:D2,wpa2,31.89118067,-102.3093487,11,,2023-03-14T11:58:56.000Z
NETGEAR73,74:3E:2B:11:03:A8,wpa2,31.89694954,-102.3057509,10,,2020-01-14T17:23:57.000Z
NETGEAR58,C0:7C:D1:2E:EE:ED,wpa3,31.88934331,-102.3102218,3,,2015-06-16T22:52:34.000Z
3Com,A8:9A:93:72:F7:13,wpa2,31.88746034,-102.3004344,4,,2024-06-01T07:56:33.000Z
Orange_FunSpot,14:91:82:77:68:BF,wpa2,31.88489239,-102.3063774,6,,2020-06-19T14:48:31.000Z
FRITZ!Box WLAN 3370,62:E6:F0:7B:4C:6F,wpa,31.89228237,-102.313831,11,,2024-11-29T22:53:37.000Z
Ziggo,60:A4:B7:CE:0C:D2,wpa2,31.88323562,-102.3110261,6,,2019-10-29T00:19:46.000Z
pretty fly for a wifi,D8:EC:5E:EA:78:D8,none,31.88387054,-102.307541,7,,2018-05-13T12:53:10.000Z
Speedport W 501V,84:23:88:CE:61:34,none,31.89534283,-102.3127996,8,,2013-03-19T21:04:06.000Z
Bella,00:22:B0:60:05:BC,wpa,31.89438851,-102.3084363,6,,2024-09-29T19:16:44.000Z
TELENETHOMESPOT,EC:1A:59:96:52:4A,wep,31.88534654,-102.3069488,1,,2015-11-30T20:56:43.000Z
yrneh09,00:19:70:B6:F3:38,wpa2,31.89235638,-102.2993401,6,,2024-08-15T22:40:21.000Z
NETGEAR92,60:B7:6E:A6:C2:AA,wpa2,31.88630292,-102.3133501,6,,2023-12-27T01:27:11.000Z
Wireless-N,44:1E:98:54:7F:2C,wpa2,31.89272413,-102.3088361,7,,2024-10-03T04:54:38.000Z
ask4 Wireless,3C:37:12:53:91:B4,wpa,31.89708029,-102.3082138,10,,2024-04-13T05:22:50.000Z
SFR WiFi Public,1E:E8:29:A0:98:C5,wpa2,31.89596959,-102.3101928,6,,2009-09-05T00:09:16.000Z
james,7C:57:3C:2D:AA:F0,wpa,31.88784173,-102.3101783,4,,2022-11-11T09:10:13.000Z
SpectrumSetup-35,32:CD:A7:16:A0:2E,wpa2,31.89099579,-102.3085844,11,,2011-11-24T02:51:12.000Z
Iteris_vectorR000172511608,86:F2:9E:BA:98:A4,wpa,31.8923695,-102.3006382,149,,2019-01-07T23:17:58.000Z
HUAWEI P20,FC:12:63:1F:0A:10,wpa2,31.89519865,-102.3132073,9,,2010-12-08T11:58:16.000Z
SpectrumSetup-4D,54:83:3A:5F:4C:42,wpa2,31.89428513,-102.3027735,6,,2023-02-10T19:21:11.000Z
Proximus Smart Wi-Fi,E6:BF:FA:74:DC:CE,wpa2,31.88815144,-102.3052325,11,,2022-08-23T17:55:02.000Z
MySpectrumWiFi00-2G,5C:7D:7D:55:96:56,wpa3,31.89389962,-102.2975068,6,,2022-05-25T02:18:11.000Z
02 never gonna let you down,A0:04:60:83:35:F5,wpa2,31.88847148,-102.3010732,1,,2017-05-25T11:06:46.000Z
RED,5C:0E:8B:F1:30:0D,wpa3,31.88403188,-102.307168,11,,2015-06-24T08:59:18.000Z
default,84:1E:A3:31:D4:77,wpa2,31.88305419,-102.3074406,2,,2018-09-01T05:55:49.000Z
COSMOTE WiFi Fon,98:FC:11:8A:83:C8,wpa2,31.88384807,-102.3002495,1,,2021-07-29T03:55:43.000Z
str241xipv,28:87:BA:69:45:2C,wpa,31.89588656,-102.3034232,3,,2023-02-14T14:42:28.000Z
WiFi_OBDii,DA:10:68:DA:C6:FD,wpa,31.88684302,-102.3055169,4,,2020-03-10T16:35:20.000Z
netgear44,E0:46:9A:13:A7:8F,wpa2,31.89248334,-102.3063682,6,,2022-06-26T17:32:49.000Z
SpectrumSetup-19,F6:9F:C2:CC:34:99,wpa2,31.88777399,-102.3068867,6,,2024-03-16T17:42:01.000Z
guestnet,E0:B9:E5:20:2D:60,wpa2,31.89074633,-102.2985398,8,,2005-11-30T02:31:40.000Z
MySpectrumWiFi00-2G,60:3D:26:38:07:44,wpa2,31.8930857,-102.3003846,6,,2022-11-10T11:00:13.000Z
Private WiFi Default,78:8A:20:75:AE:8D,wpa2,31.89490277,-102.3123222,1,,2012-12-20T03:46:25.000Z
ASUS_5G,AC:84:C9:70:2B:03,wpa2,31.88729616,-102.3082111,10,,2011-02-25T09:56:33.000Z
m3connect,E2:63:DA:91:C6:C8,none,31.89488004,-102.3139202,6,,2024-11-23T09:39:12.000Z
SpectrumSetup-19,20:E5:2A:C3:60:97,wpa2,31.88488913,-102.3090561,1,,2020-05-11T07:31:53.000Z
internet,B0:FC:88:A0:95:00,wpa,31.88677475,-102.3018855,6,,2020-12-15T03:10:30.000Z
SpectrumSetup-C7,D0:21:F9:B4:DC:87,wpa2,31.8963701,-102.3091958,1,,2019-12-06T09:56:02.000Z
vodafone,B4:C7:99:58:A4:99,wpa2,31.88882286,-102.303712,11,,2020-08-28T22:29:00.000Z
Redmi 9C,A8:A2:37:E8:1E:19,wpa2,31.88917348,-102.3131027,11,,2010-01-16T07:57:09.000Z
